Du;Au;Nom de la course;Catégorie;Organisateur;Discipline;Département;lieu
03/09/23;03/09/23;COUPE AUVERGNE-RHÔNE-ALPES TRIAL #4;Trial Toutes catégories;KULTURETRIAL TANINGES;VTT;74;TANINGES
03/09/23;03/09/23;LA RONDE DU PARC ;U17 hommes;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;LA RONDE DU PARC;U15 hommes;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;LES RONDES DES ADHEMAR 1ERE MANCHE;Open2 hommes et +;SJVC MONTELIMAR;Route;26;MONTELIMAR
03/09/23;03/09/23;GRAND PRIX DE CERVENS;U17 hommes;EVIAN VELO;Route;74;CERVENS
03/09/23;03/09/23;GRAND PRIX DE CERVENS;Ecole de route;EVIAN VELO;Route;74;CERVENS
03/09/23;03/09/23;PRIX D'EVIRES;Elite femmes (régional) et +;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
03/09/23;03/09/23;PRIX D'EVIRES;Access hommes;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
03/09/23;03/09/23;PRIX D'EVIRES;Open1 hommes et +;Comité départemental Haute-Savoie FFC;Route;74;EVIRES
02/09/23;02/09/23;CIRCUIT DES CHAMPIONS;Elite hommes (régional) et +;ISSOIRE SPORT ORGANISATION ;Route;63;AUBIERE
02/09/23;03/09/23;CHAMPIONNAT AUVERGNE-RHONE-ALPES VTT DH;DH Toutes catégories;VELO CLUB DE BESSE ;VTT;63;SUPER BESSE
02/09/23;02/09/23;RANDO DE L'ACVA;Randonnée;A C V AURILLACOIS ;VTT;15;BOUDIEU BAS AURILLAC
02/09/23;02/09/23;RANDO DE L'ACVA;Randonnée;A C V AURILLACOIS ;Route;15;BOUDIEU BAS AURILLAC
02/09/23;02/09/23;GRAVEL TOUR DU MONT BLANC;Chronométré;C.S. MEGEVE;Gravel;74;MEGEVE
01/09/23;01/09/23;NOCTURNE DE LA FETE;Open2 hommes et +;V.C. FEURS/BALBIGNY;Route;42;FEURS
29/08/23;02/09/23;TOUR DE L AVENIR FEMININ;UCI Femmes;ALPES VELO;Route;1;
28/08/23;28/08/23;GFNY ALPES VAUJANY;Cyclosportive;ASPTT MULHOUSE CYCLISME;Route;38;VAUJANY
28/08/23;28/08/23;PRIX DE POMMIERS;Open1 hommes et +;C.R.4 CHEMINS/ROANNE;Route;42;POMMIERS
27/08/23;27/08/23;TRANS VERCORS VTT;Randonnée;TEAM VERCORS VTT;VTT;38;VILLARD DE LANS
27/08/23;27/08/23;PRIX DE LA MUNICIPALITE DE RUMILLY;Open1 hommes et +;V.C. RUMILLIEN;Route;74;RUMILLY
27/08/23;27/08/23;PRIX DE LA MUNICIPALITE DE RUMILLY;Access hommes;V.C. RUMILLIEN;Route;74;RUMILLY
27/08/23;27/08/23;TP RAOUX;U15 hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;U17 hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;Access hommes;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;TP RAOUX;Open2 hommes et +;V.C. PIERRELATTE;Route;26;PIERRELATTE 
27/08/23;27/08/23;MINIMES - FINALE DU TROPHEE V.LAVENU;U15 hommes;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;CADETS - FINALE DU TROPHEE V.LAVENU;U17 hommes;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;FEMININES MINIMES - FINALE DU TROPHEE V.LAVENU;U15 femmes;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;GRAND PRIX DE CHARANTONNAY;Elite femmes (régional) et +;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;GRAND PRIX DE CHARANTONNAY;Access hommes;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;FEMININES CADETTES - FINALE DU TROPHEE V. LAVENU;U17 femmes;V.C. BOURGOIN JALLIEU;Route;38;CHARANTONNAY
27/08/23;27/08/23;DVELOS LAC D'ANNECY;Cyclosportive;OUTDOOR SPORT ORGANISATION;Route;74;SAINT JORIOZ
27/08/23;27/08/23;PRIX BERNARD GOUTAUDIER;Ecole de route;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;SAINT ANGEL
27/08/23;27/08/23;PRIX BERNARD GOUTAUDIER;Open2 hommes et +;CLASSIC JEAN PATRICK DUBUISSON ORGANISATIONS ;Route;3;SAINT ANGEL
27/08/23;27/08/23;PRIX DE CHAVANNES SUR REYSSOUZE;Elite hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;CHAVANNES SUR REYSSOUZE
27/08/23;27/08/23;PRIX DE CHAVANNES SUR REYSSOUZE;Access hommes;BOURG EN BRESSE AIN CYCLISME;Route;1;CHAVANNES SUR REYSSOUZE
26/08/23;27/08/23;COUPE DE FRANCE MTB ENDURO & ENDURO VTTAE;Enduro;FFC Direction Activités Sportives;VTT;73;PEISEY VALLANDRY
26/08/23;26/08/23;DVELOS LAC D'ANNECY GRAVEL;Chronométré;OUTDOOR SPORT ORGANISATION;Gravel;74;SAINT JORIOZ
25/08/23;27/08/23;TOUR DU LEMAN JUNIORS;U19 hommes régional;Comité départemental Haute-Savoie FFC;Route;74;AIN/HAUTE SAVOIE/VAUD/VALAIS/GENÈVE
21/08/23;21/08/23;GRAND PRIX DU PIC;Access hommes;V.C. MONTBRISONNAIS;Route;42;MONTVERDUN
21/08/23;21/08/23;GRAND PRIX DU PIC;Open3 hommes et +;V.C. MONTBRISONNAIS;Route;42;MONTVERDUN
20/08/23;20/08/23;PRIX DE MONTSALVY;Open1 hommes et +;V.C. MAURSOIS;Route;15;MONTSALVY
20/08/23;20/08/23;PRIX DE MONTSALVY;U17 hommes;V.C. MAURSOIS;Route;15;MONTSALVY
20/08/23;20/08/23;GRIMPEE DE LA CROISETTE;Grimpée chronométrée;V.C. ST JULIEN EN GENEVOIS;Route;74;ARCHAMPS
20/08/23;20/08/23;GRAND PRIX DE LA SAINT BARTHELEMY;Access hommes;V.C. MONTBRISONNAIS;Route;42;SAINT BONNET LE COURREAU
20/08/23;20/08/23;GRAND PRIX DE LA SAINT BARTHELEMY;Open2 hommes et +;V.C. MONTBRISONNAIS;Route;42;SAINT BONNET LE COURREAU
20/08/23;20/08/23;PRIX DE LA VILLE D ARBENT;Access hommes;E.C. ARBENT-MARCHON;Route;1;ARBENT
20/08/23;20/08/23;PRIX DE LA VILLE D ARBENT;U17 hommes;E.C. ARBENT-MARCHON;Route;1;ARBENT
20/08/23;20/08/23;PRIX DE SAINT AMOUR;Elite hommes (régional) et +;BOURG EN BRESSE AIN CYCLISME;Route;1;39 AINT AMOUR
19/08/23;20/08/23;ECHAPPE DU COL DE LA LOZE;Cyclosportive;C.S. MERIBEL;Route;73;
